Gene,EOL-1,HEL,Molm-13,MonoMac1,MV4;11,NB-4,OCI-AML2,OCI-AML3,OCI-AML5,P31-FUJ,PL-21,SKM-1,TF-1,THP-1
GAPVD1,0.057,-0.356,-0.458,-0.165,-0.197,0.211,-0.023,-0.544,0.399,-0.31,-0.087,-0.18,0.102,-0.834
GAREML,-0.352,-0.193,-0.26,-0.467,-0.217,-0.026,-0.404,-0.602,-0.797,-0.049,0.274,-0.449,-1.331,-0.025
GAS2,0.228,0.279,-0.822,0.042,0.271,-0.637,0.094,-0.159,0.203,-0.059,-0.425,0.298,0.226,-0.507
GATA6,0.263,0.193,-0.479,0.175,0.119,0.444,0.335,-0.742,0.341,0.149,-0.288,0.272,0.084,0.109
GATM,0.421,-0.101,-0.474,-0.482,0.056,-0.339,0.301,0.291,-0.058,-0.008,-0.173,0.23,0.198,0.523
GCLM,-0.857,-0.268,-1.019,-0.1,-0.751,-0.505,-0.894,-0.3,-0.205,-0.286,0.157,-0.192,-0.328,-0.717
GCM2,-0.844,0.259,-0.874,-0.242,-0.785,-0.057,-0.692,-0.416,-1.188,0.143,-0.47,0.099,-0.958,-0.509
GDF6,-0.458,0.294,-0.728,0.348,-0.047,-0.563,0.132,-0.154,-0.02,-0.054,-0.777,0.048,-0.593,0.105
GDPD5,-0.474,-0.606,-0.948,-0.381,-1.145,-0.576,0.021,-0.267,-0.422,-0.571,-0.158,-0.153,-0.821,-0.254
GEN1,-1.156,0,0.071,0.079,0.099,-0.437,0.011,-0.491,0.119,0.116,-0.051,0.157,-0.64,0.178
GFRA2,-0.522,0.164,-1.317,-0.455,-0.55,-0.06,-0.248,0.288,-0.518,-0.139,-0.235,-0.108,-0.39,-0.077
GGACT,0.028,0.001,0.221,0.005,0.196,0.307,0.128,0.239,0.072,-0.37,-0.887,-0.121,0.475,0.285
GGN,-0.109,-0.478,-0.452,-0.279,-0.871,0.016,-0.122,-0.066,-0.481,-0.195,-0.3,-0.43,-1.39,-0.137
GGNBP2,-0.531,-0.294,-1.188,-0.531,-0.728,-0.277,0.033,0.003,-0.128,-0.206,0.139,-0.895,-0.426,-0.092
GHITM,-0.497,-0.169,0.644,-0.623,-0.054,-0.028,-0.147,-0.084,-0.548,-0.143,0.333,0.167,0.096,-0.243
GHSR,0.128,0.59,0.512,-0.729,-0.289,-0.672,-0.261,-0.58,0.273,0.011,-0.858,-0.331,-0.079,-0.081
GIGYF1,-0.209,-0.791,-0.751,-0.393,-0.46,0.243,-0.332,-0.168,-1.241,-0.143,-0.752,-0.6,-0.343,-0.826
GIT2,0.264,-0.756,0.311,0.03,-0.155,0.229,0.016,-0.448,-0.245,0.342,-0.91,-1.475,-0.29,-0.295
GJA1,-0.258,-0.085,-0.453,0.052,0.192,0.352,-0.124,0.151,0.039,-0.221,-0.867,0.098,-0.592,-0.166
GJB2,-0.373,-0.274,-0.746,-0.452,0.007,-0.237,0.029,0.06,-0.194,-1.273,-0.19,0.18,-0.35,-0.211
GJB5,0.276,-0.064,-0.495,-0.185,-0.031,-0.414,-0.453,0.126,-0.94,-0.02,-0.928,-0.472,-0.241,-0.466
GJB6,-0.328,-0.225,-0.887,-0.245,-0.494,0.101,0.081,0.176,-0.123,-0.712,-0.517,0.16,0.118,-0.458
GLCCI1,-0.337,-0.026,-0.394,0.591,-0.578,-0.35,-0.21,-0.277,-0.263,0.181,-0.264,0.083,-0.656,-0.04
GLP1R,-0.167,-0.281,-0.56,0.04,0.278,-0.27,-0.275,-0.382,-0.03,-0.159,0.488,-0.138,-0.705,-0.524
GLTSCR1L,0.11,-0.478,0.087,-0.442,-0.017,0.054,-0.113,-1.163,0.089,-0.103,-0.783,-0.022,-0.407,0.287
GLYR1,-0.048,-0.382,0.807,-0.164,0.115,-0.244,0.5,0.35,0.213,0.208,0.029,0.027,-0.175,0.657
GMEB1,0.673,-0.664,-0.512,-0.787,0.04,-0.23,0.047,-0.072,-0.374,-0.138,-0.697,-1.558,-0.385,-0.671
GMIP,-0.545,-0.393,-0.915,-0.474,-0.9,-0.174,-0.168,-0.132,-0.874,-0.365,-0.369,-0.318,-1.306,-0.466
GMNN,-0.156,-0.634,-0.746,-0.125,-0.182,0.14,-0.08,-0.093,0.01,0.112,0.266,0.011,-0.946,-1.193
GNA13,0.844,0.032,-0.225,-0.248,0.604,0.246,0.065,0.097,1.023,0.211,0.508,0.047,-0.282,-0.066
GNAI3,-0.188,-0.054,-0.25,-0.617,-0.131,0.017,-0.198,0.532,-0.363,-0.371,-1.051,-0.649,-0.583,0.272
GNAS,-0.133,0.274,1.247,0.099,1.847,-0.257,-0.42,-1.163,0.059,0.192,0.441,0.428,-0.387,-0.21
GNAT1,0.4,-0.338,-0.239,0.223,-0.054,-0.241,0.158,0.367,-0.402,-0.306,-0.626,-0.375,-0.921,-0.097
GNB4,-0.242,-0.177,-0.124,0.115,-0.126,-0.146,-0.103,-0.194,-0.358,-0.456,0.025,-0.627,-1.046,0.426
GNL1,-0.465,-0.416,-0.871,0.141,-0.27,0.171,-0.556,0.137,-0.45,-0.196,-0.344,-0.139,-0.702,-0.574
GNPTG,0.324,-0.2,-0.162,0.083,-0.232,0.291,-0.361,-0.374,-0.638,-0.105,-0.491,-0.318,-0.047,-0.792
GOLGA8B,-0.185,-0.946,-0.971,0.18,-0.349,-0.499,-0.362,-1.253,-0.417,-0.023,0.076,-0.267,-0.213,-0.593
GOLM1,-0.066,-0.223,-0.488,-0.189,-0.33,-0.169,-0.22,0.081,0.156,-0.183,0.657,-0.117,-0.227,-0.802
GPAA1,-0.583,-0.297,-1.455,-0.292,-0.689,-0.382,-0.532,-0.756,-0.72,-0.319,-0.933,-0.256,-0.505,-0.742
GPANK1,-0.692,-0.467,-1.182,-0.166,-0.925,-0.299,-0.305,-0.225,-0.492,-0.335,0.041,-0.151,-0.512,-0.322
GPATCH8,0.284,0.938,0.189,-0.092,0.586,0.158,0.241,-0.183,0.63,0.218,-0.092,-0.32,-0.239,-0.323
GPBP1L1,-0.645,-0.175,-0.458,0.376,-0.323,-0.004,0.135,0.192,-0.183,-0.253,-0.303,-0.596,-0.192,0.385
GPC5,0.055,0.079,-0.134,-0.275,0.176,0.013,0.227,-0.212,0.167,-0.492,-0.512,0.078,-1.074,-0.463
GPR119,0.236,0.331,0.117,0.217,0.227,0.004,0.267,-0.251,-0.088,-0.068,-0.192,0.891,0.7,-0.154
GPR152,-0.599,-0.227,-0.913,-0.775,-0.356,0.028,-0.286,-0.18,-0.695,-0.161,-0.251,0.073,-0.796,-0.002
GPR153,0.464,-0.78,-0.721,-0.399,-0.451,0.097,-0.013,-0.373,-0.303,-0.277,-0.835,-0.324,-0.802,-0.342
GPR183,-0.256,0.166,-0.312,-0.128,0.211,-0.371,0.185,-0.158,-0.238,-0.417,-1.376,0.077,-0.716,-0.186
GPR25,-0.423,0.498,-0.772,-0.141,-0.043,0.217,-0.356,-0.303,-0.439,0.227,-0.324,-0.184,0.443,-0.035
GPR26,0.324,-0.203,-0.799,0.129,0.021,-0.269,-0.094,-0.219,-0.159,-0.316,-0.114,-0.226,-1.137,-0.108
GPR27,-0.005,-0.96,-0.879,-0.212,-0.146,-0.512,0.097,-0.602,-0.796,0.204,-0.305,-0.311,-0.016,-0.143
GPR31,-0.497,-0.355,-0.806,-0.091,-0.144,-0.291,-0.439,0.233,-0.427,0.004,-0.304,-0.273,-0.18,-1.146
GPR78,0.165,0.05,-0.389,0.343,0.172,-0.327,0.275,0.328,-0.321,0.068,-0.811,-0.146,0.22,0.281
GPR89A,-0.808,-0.294,-0.576,-0.628,-0.276,-0.378,-0.529,-0.574,-0.954,0.109,-0.482,-0.71,0.263,-1.386
GPS2,-0.059,-0.756,-0.639,0.024,0.334,-0.008,-0.175,1.064,-0.096,-0.12,0.189,-0.712,-1.381,0.262
GPT2,-0.057,-0.149,0.504,0.195,0.537,-0.271,0.001,-0.493,0.016,0.26,-0.257,0.045,-0.6,-0.097
GRB10,-0.311,0.15,-0.682,-0.199,-0.62,0.073,0.025,-0.115,-0.003,-0.196,-0.159,0.633,-0.438,-0.065
GRIK3,0.361,0.033,0.003,0.575,0.15,-0.039,0.151,0.589,-0.17,0.03,-0.77,0.067,0.15,-0.163
GRM1,-0.474,-0.259,-0.844,-0.301,-0.192,-0.001,-0.362,-0.028,-0.902,-0.437,-0.253,-0.885,-0.978,-1.034
GRN,0.26,-0.541,0.295,0.085,-0.128,-0.274,0.227,0.339,-0.926,0.032,-0.147,0.113,-1.586,0.094
GSK3A,-0.282,0.389,-0.501,0.166,-0.853,0.39,0.543,0.713,-0.046,0.04,-0.289,0.557,-0.318,0.049
GSK3B,-0.086,-0.916,0.286,0.366,-0.301,-0.223,0.679,1.039,-0.369,0.083,0.276,0.792,-0.875,0.504
GSKIP,-0.118,0.205,0.158,0.458,0.095,0.226,0.96,0.229,0.333,0.561,0.359,0.981,-0.05,0.444
GSR,-0.413,0.116,-0.841,-0.413,-0.565,0.525,-0.215,-0.239,-0.4,-0.191,-0.513,0.107,0.038,0.076
GSX1,0.218,0.407,-0.747,0.499,0.247,0.029,0.179,0.146,-0.15,-0.328,-0.311,0.187,0.147,0.525
GTDC1,-0.059,0.332,-0.059,-0.086,0.186,0.383,0.137,0.112,0.109,-0.139,-0.436,0.588,-0.942,0.468
GTF2H5,-0.117,0.088,-0.47,-0.284,-0.431,0.253,-0.974,0.21,-0.15,-0.376,-0.29,0.03,-0.122,-0.675
GTF2I,-0.133,-0.213,-0.597,-0.833,0.23,-0.466,-0.659,-0.74,-0.946,-0.383,-0.363,-0.22,-0.105,-0.698
GTF2IRD1,-0.817,-0.583,-0.991,-0.156,0.285,-0.218,-0.397,-0.469,-0.211,0.012,-1.357,-0.35,-0.788,-0.996
GUCA1C,-0.426,0.853,0.438,0.609,-0.048,0.021,0.485,-0.213,0.244,0.412,0.037,0.365,0.083,0.014
GXYLT1,0.025,-0.303,0.102,-0.171,-0.654,0.227,0.019,-0.115,0.426,0.117,-0.333,0.058,-0.116,-0.894
HACE1,-0.717,-0.448,-0.53,0.121,-0.234,-0.468,-0.374,0.532,-0.296,-0.138,-0.228,0.232,-0.057,-0.456
HAGHL,-0.592,0.069,-0.554,-0.142,-0.461,0.013,-0.385,0.034,-0.694,0.2,-0.5,0.058,0.244,0.362
HAPLN4,-0.149,-0.058,-0.643,-0.045,-0.637,0.108,-0.274,-0.576,-0.926,-0.082,-0.471,-0.133,-1.616,0.186
HAT1,-0.986,-0.591,-0.703,-0.13,-0.699,-0.394,-0.098,-0.164,-0.733,-0.182,-0.838,0.022,-0.688,0.025
HAX1,-0.365,-0.668,-0.871,-0.559,-0.218,-0.263,-0.86,-0.121,-0.802,-0.821,0.17,-0.164,-0.798,-0.856
HBM,-0.025,0.661,0.003,-0.541,-0.089,0.199,0.299,-0.293,0.112,0.467,0.243,0.063,0.54,0.022
HCCS,-0.436,-0.793,-0.294,-0.263,-0.6,-0.15,-0.514,-0.784,-0.974,-0.552,-0.229,-0.03,-1.363,-0.978
HDAC2,-0.374,-0.203,-0.016,0.361,0.265,-0.358,0.04,-0.197,0.126,-0.536,-0.38,-0.474,-0.995,0.419
HDAC4,-0.412,0.179,0.394,0.007,0.346,-0.445,-0.273,-1.502,-0.735,-0.197,-0.048,0.085,-0.252,-0.388
HDAC5,-0.463,-1.029,0.274,-0.391,0.42,-0.244,0.457,-0.745,-0.805,-0.215,-0.051,-0.486,-0.977,0.081
HDGF,0.136,-0.604,-0.38,-0.349,0.001,-0.211,0.24,0.23,-0.492,-0.683,-0.861,-0.268,0.004,-0.212
HDGFRP3,-0.231,0.072,0.302,0.545,0.287,-0.376,0.312,-0.051,0.31,-0.098,0.404,-0.353,-0.742,-0.183
HEATR5A,0.038,-0.587,-0.479,0.085,-0.805,0.031,-0.302,-0.638,-0.587,-0.393,-0.318,0.122,-0.786,-0.549
HERC2,-0.104,-0.94,-0.294,-0.278,0.283,-0.816,-0.484,0.577,0.004,-0.14,0.272,0.534,-0.209,-1.191
HES4,0.228,-0.27,0.204,-0.103,0.178,0.12,0.062,-0.898,0.09,0.277,-0.663,0.088,0.267,0.318
HES6,-0.163,-0.023,-0.352,-0.535,-0.183,-0.543,-0.206,-0.254,-0.957,-0.078,0.014,-0.452,-1.099,-0.034
HGSNAT,-0.126,0.05,-1.118,-0.156,-0.153,-0.05,-0.419,-0.003,-0.594,0.078,-0.256,0.314,-0.011,-0.072
HHEX,-0.574,-0.754,-0.034,0.021,-0.778,-0.627,-0.351,-0.657,-0.869,-0.313,-0.626,-0.873,-0.999,-0.056
HHIPL1,-0.121,-0.38,-0.243,-0.217,-0.355,0.112,-0.854,-0.008,-0.706,0.287,-0.278,-0.173,-0.74,0.021
HHLA3,-0.388,-1.205,-0.145,0.149,0.076,-0.17,-0.283,-0.414,-0.114,-0.498,-0.25,-0.018,-0.934,-0.509
HIBCH,-0.23,-0.002,0.933,-0.078,-0.139,0.259,-0.051,-0.325,0.522,0.139,-0.076,0.462,0.052,-0.758
HIF1A,0.627,-0.014,-0.587,0.573,-0.64,-0.806,0.214,0.229,-0.149,0.341,0.467,0.582,0.207,0.311
HIF1AN,-0.419,0.418,0.059,0.19,-0.11,-0.132,0.322,-0.924,-0.206,-0.266,-0.274,-0.678,-0.122,-0.459
HIF3A,-0.363,-0.436,-0.732,-0.043,-0.491,-1.141,-0.236,0.056,-0.484,-0.158,0.008,-0.196,-0.886,-0.197
HINT3,-0.472,0.087,-0.598,0.239,-0.121,0.209,0.086,0.073,0.049,0.246,-0.34,-0.108,-1.063,-0.469
HIRIP3,-0.642,-0.788,-0.48,-0.343,-0.385,0.392,0.044,-0.593,-0.601,-0.17,-0.136,-0.243,-0.039,-0.018
HIST1H1E,-0.526,0.2,-0.672,-0.483,0.387,-0.046,0.175,0.248,-0.345,-0.614,-0.748,-0.155,-0.109,-0.403
HIST1H3C,-0.084,-0.016,-0.037,0.424,-0.379,-0.122,-0.508,-0.116,-0.311,0.093,-0.859,-0.365,-1.029,-0.18
HIST1H4D,-0.419,-0.283,-0.927,-0.567,-0.719,-0.093,-0.966,-0.75,-0.118,0.173,-0.628,-0.031,-1.257,-0.291
HIST1H4F,-0.572,0.324,-0.661,-0.109,-0.658,0.164,0.077,0.224,0.047,-0.046,-0.279,0.135,-0.023,0.36
HKR1,0.057,-0.275,-0.321,0.469,-0.579,-0.629,-0.061,-0.127,-0.909,-0.017,-0.188,-0.079,-1.272,-0.496
HLA-A,-0.09,-0.043,-1.065,0.119,-0.193,-0.144,-0.381,-0.336,-0.133,-0.07,-0.168,-0.588,-0.346,0.482
HLA-DQA1,-0.263,0.436,0.549,-0.353,0.149,-0.081,-0.03,-0.59,0.523,-0.008,-0.18,0.038,0.023,-0.184
HLA-E,-0.456,-0.088,-0.758,-0.311,-0.131,-0.384,-0.439,-0.958,0.005,0.169,-0.614,-0.591,-1.236,0.394
HM13,-0.571,-1.221,-0.536,-0.759,-0.531,-0.78,-0.956,0.181,-0.418,-0.532,-0.503,-0.546,-0.934,-0.666
HMCES,-0.115,-0.852,-0.626,-0.007,0.025,-0.271,-0.141,0.133,-0.097,-0.374,-0.543,-0.58,-0.834,0.292
HMG20B,0.011,0.025,-0.585,-0.249,-0.796,0.003,-0.246,0.486,-0.742,-0.157,-0.387,-0.47,0.316,-0.085
HMGA2,0.137,0.417,0.028,0.173,0.446,0.134,-0.259,-0.469,-0.452,-0.309,0.335,-0.311,-0.568,-0.547
HMGB2,-0.807,0.086,0.086,-0.139,-0.575,0.325,-0.34,-0.335,-0.436,0.056,-0.537,-0.164,0.03,-1.098
HMGCL,-1.429,0.061,-0.09,-0.195,-0.416,-0.101,-0.388,-0.46,-0.494,0.068,-0.824,-0.228,-0.367,-0.207
HMGN2,0.206,-0.715,-0.018,-0.907,-0.345,0.074,-0.265,1.105,-0.148,-0.406,0.073,-0.428,-0.77,-0.017
HMMR,0.252,-0.323,-0.556,0.042,0.256,-0.976,0.263,-0.421,-0.003,0.223,-0.192,-0.497,0.029,-0.471
HMX1,-0.697,0.28,-0.938,-0.232,-1.038,-0.677,-0.186,-0.017,-0.837,-0.146,-0.873,-0.713,-0.687,-0.059
HOMEZ,-0.851,-0.452,-0.288,-0.568,-0.557,0.063,-0.473,-0.228,-0.696,-0.858,-0.598,0.028,-0.816,-0.959
HOOK3,-0.394,0.268,-0.849,0.309,-0.096,0.401,-0.083,0.294,0.059,0.047,-0.049,0.233,0.568,-0.003
HOXA13,0.229,-0.072,-0.216,-0.356,-0.608,-0.63,-0.071,-1.343,0.194,0.125,-0.286,-0.037,-0.06,0.721
HOXD1,0.029,-0.508,0.247,-0.128,-0.55,-0.086,-0.19,-0.049,-0.632,-0.088,-0.147,0.123,-1.128,-0.239
HOXD11,-0.072,0.19,-0.15,0.391,0.043,-0.169,0.352,0.151,-0.423,0.152,-0.154,0.276,-1.011,-0.031
HOXD8,0.605,-0.119,-0.219,0.414,-0.322,0.078,0.387,0.164,-0.292,0.046,-0.36,0.111,-0.584,-0.413
HP1BP3,-0.066,-0.778,-0.951,0.447,-0.536,0.126,-0.242,0.048,-0.627,0.01,-0.561,-0.1,-0.484,0.052
HPS6,-0.033,-0.782,-0.173,-0.038,0.227,-0.223,0.016,0.594,-0.242,0.206,-0.481,-0.149,-0.384,-0.214
HR,-0.566,0.032,-1.06,-0.287,-0.852,-0.11,-0.853,-0.208,-0.65,-0.435,-0.269,-0.292,-0.545,0.044
HRASLS,0.313,0.087,0.161,0.228,0.207,0.024,0.217,-0.103,-0.079,0.601,-0.436,-0.194,-0.704,-0.254
HRH3,0.145,-0.732,0.329,-0.088,0.144,-0.231,-0.006,-0.502,-0.265,0.244,-0.566,-0.32,-0.838,-0.086
HSD17B4,-0.373,-0.294,-0.229,-0.183,0.54,0.002,-0.112,0.41,0.177,0.234,-0.269,0.105,-1.194,-0.413
HSPB6,-0.432,0.248,-0.213,-0.277,-0.131,-0.126,0.18,-0.208,-0.161,0.108,0.044,-0.019,-0.99,0.265
HSPBAP1,-0.082,-0.128,-0.159,-0.545,-0.379,-0.667,0.13,-0.087,0.157,-0.316,0.328,-0.294,-0.214,-0.892
HTR6,0.088,0.132,0.039,0.068,0.145,0.033,-0.03,-0.397,-0.686,0.026,-0.298,-0.098,-0.552,-0.885
HTR7,-0.229,0.201,0.314,0.035,0.641,-0.861,-0.151,-0.091,-0.074,-0.128,-0.2,-0.476,-0.406,-0.418
HYI,-0.012,-0.517,0.073,0.18,0.127,-0.101,0.213,-0.081,0.207,0.073,0.467,0.07,-0.882,-0.755
HYLS1,-0.27,-1.203,0.409,-0.217,-0.105,0.083,-0.105,-0.36,-0.102,0.078,0.002,-0.994,0.255,0.013
IDH3B,0.144,-0.173,-0.204,-0.108,-0.377,-0.091,0.418,-0.086,0.456,0.121,0.697,-0.058,-0.764,0.459
IDO1,0.195,0.206,-0.841,-0.228,-0.394,0.475,0.198,-0.13,0.188,0.372,-0.504,-0.108,-0.212,-0.206
IDS,0.092,0.206,-0.39,-0.058,0.57,0.301,0.256,-0.235,0.454,0.206,0.413,0.196,-0.536,0.192
IFIT2,-0.387,0.197,-0.251,-0.221,-0.059,0.314,0.403,0.015,0.297,0.09,-0.328,0.019,-0.851,0.109
IFIT3,0.073,-0.021,-0.552,0.041,-0.145,-0.01,-0.031,-0.071,-0.992,-0.162,-0.072,0.078,-0.642,0.46
IFNA1,0.263,0.624,-0.398,-0.581,-1.312,-0.758,-0.831,-0.895,-0.526,-0.894,-0.706,-0.678,-0.655,0.119
IFNA13,0.292,0.64,-0.432,-0.533,-1.302,-0.734,-0.898,-0.934,-0.654,-0.96,-0.782,-0.746,-0.68,0.088
IFNA14,-0.932,0.494,-0.523,0.185,-0.361,-0.662,-0.11,0.275,-0.435,-0.284,-0.179,-0.116,-0.114,0.214
IFNA17,-0.846,0.517,-0.191,-0.333,-0.671,-0.437,-0.307,-0.697,-0.375,-0.32,-0.19,-0.912,-0.079,-0.208
IFNA6,0.105,0.152,-0.078,-0.177,-0.459,-0.383,-0.508,-0.129,-0.618,-0.926,-0.543,-0.433,-0.234,0.238
IFNA8,0.452,0.676,0.038,0.026,-0.204,-0.223,-0.357,-0.668,-0.307,-0.355,-0.205,-0.266,0.253,-0.03
IFNGR2,-0.368,-1.583,-0.338,0.031,-0.294,-0.907,-0.417,-0.294,-0.276,-0.837,-0.727,-0.07,-0.658,-0.265
IFNL1,-0.441,0.342,-0.78,0.177,-0.594,-0.093,0.135,-0.016,-0.667,-0.705,0.289,-0.382,-0.776,0.16
IFT74,-0.653,-0.12,0.156,-0.102,-0.317,-0.443,0.218,-0.373,-0.278,0.111,0.66,-0.543,-0.365,-0.672
IGF2BP1,-0.516,0.074,-0.463,-0.202,-0.34,-0.902,0.105,0.148,-0.102,0.011,-0.024,0.141,-0.181,0.281
IGF2BP3,0.145,0.175,0.1,-0.301,0.383,-0.393,0.488,-0.346,-0.318,0.201,-0.305,0.282,-0.304,0.379
IGIP,-0.04,0.519,-0.041,0.253,0.538,-0.279,0.376,-0.322,0.638,0.597,0.123,-0.125,-0.086,0.361
IGSF5,-0.028,-0.923,-0.066,-0.388,0.269,-0.089,0.237,0.17,-0.027,-0.075,-0.61,-0.081,0.062,-0.387
IGSF9,0.103,-0.232,0.316,0.245,-0.45,-0.5,-0.06,-1.025,-0.157,-0.281,-0.194,-0.146,-0.864,-0.189
IL12RB1,-0.344,-0.389,-0.966,-0.177,-0.756,-0.294,-0.072,-0.504,-0.405,-0.09,-0.59,-0.323,-1.167,0.003
IL27,-0.797,-0.775,-0.795,-0.145,-0.507,-0.297,-0.561,-0.97,-0.675,-0.211,-0.582,-0.546,-0.391,0.241
IL32,-0.561,-0.371,-0.975,0.079,-0.104,-0.435,0.056,0.083,-0.983,-0.118,-0.08,-0.169,-0.487,-0.18
ING1,-0.382,-0.53,-0.852,-0.113,-0.579,-0.199,-0.863,-0.183,-0.429,-1.002,-0.16,0.273,0.138,-0.099
ING2,-0.731,-0.193,-0.024,-0.021,-0.037,-0.327,-0.112,0.147,-0.37,0.317,-0.11,0.5,-0.593,-0.258
INPP5A,0.035,0.462,0.49,-0.194,0.15,-0.293,0.127,-0.085,0.231,0.084,-0.77,-0.994,-0.315,0.124
INPP5D,-0.181,0.399,0.594,0.283,-0.043,-0.212,0.208,0.917,0.158,0.553,0.618,0.505,-0.063,-0.056
INS,-0.021,-0.232,-1.04,-0.254,-0.819,-0.289,-0.28,-0.639,-0.896,-0.109,-0.244,-0.649,-0.793,-0.548
INSIG1,-0.868,0.322,0.246,-0.866,-0.176,0.995,-0.429,-0.865,-0.312,-0.831,-0.432,-0.296,-1.618,-0.596
INSR,-0.132,-0.312,-0.728,0.045,-0.459,-0.213,-0.107,-0.494,-0.627,0.007,-0.766,-1.234,-0.284,-0.606
INTS7,-0.695,-0.507,-1.355,-0.5,-0.764,-0.282,-0.476,-0.162,-0.875,-0.336,0.036,0.083,-0.968,-0.409
IPO8,0.138,-0.062,-0.257,0.044,0.276,0.023,-0.105,-0.047,-0.369,-0.123,0.14,0.374,-0.325,-0.945
IQCC,-0.169,-0.668,0.037,0.059,0.049,-0.203,-0.196,-0.335,-0.822,-0.086,-0.434,-0.162,-1.208,-0.471
IQSEC3,-0.392,-0.396,-0.621,-0.661,-0.202,-0.073,0.051,-0.719,-1.135,-0.706,-0.9,-0.479,-0.52,0.21
IRF1,-0.048,0.072,-0.751,-0.154,-0.65,-0.492,0.341,-0.069,0.248,0.033,0.131,0.262,0.269,-0.263
IRF2,-0.484,-0.19,0.235,-0.805,-0.563,-0.091,-0.591,-2.377,-0.926,0.176,-0.107,0.012,0.395,-0.957
IRF7,0.306,-0.407,-0.15,-0.199,0.165,-0.101,0.144,-0.519,0.017,-0.035,-0.987,-0.574,0.043,-0.727
ISG15,-0.722,-0.263,-0.459,-0.274,0.033,-0.282,-0.027,-0.455,-0.618,-0.83,-0.46,-0.459,-1.398,-0.295
ISLR,-0.586,-0.308,-0.831,0.104,-0.443,-0.491,-0.657,-0.402,-0.88,-0.95,-0.216,-0.77,-1.091,-0.341
ISM2,-0.366,-0.067,-0.155,-0.253,-0.47,0.241,-0.413,-0.538,-0.35,0.075,0.346,-0.132,-0.816,-0.604
ITFG2,-0.805,-0.425,-0.18,0.459,0.034,-0.43,-0.143,0.226,0.022,0.248,-0.429,0.273,-0.621,-0.422
ITGA3,-0.41,-0.403,-0.929,-0.848,-0.717,-0.445,-0.846,0.229,-1.136,-0.728,0.093,-0.38,-0.364,-0.926
ITGA8,-0.012,-0.611,-0.317,-0.254,0.158,0.037,0.023,0.059,-0.572,-0.092,0.016,-0.133,-1.232,-0.012
ITGAX,-0.707,-0.993,-1.444,0.009,-0.925,-0.463,-0.701,-0.529,-0.558,-0.916,-0.457,-0.671,-0.997,-0.71
ITIH1,-0.051,-0.451,-0.343,0.196,-0.19,-0.17,0.023,-0.316,-0.423,0.101,-0.829,-0.189,-0.745,0.339
ITPKC,-0.04,0.077,-0.277,-0.203,-0.714,0.256,0.273,0.256,-0.017,-0.184,0.403,-0.01,-0.686,-0.058
ITPR2,0.361,-0.308,-0.402,-0.005,-0.076,-1.093,-0.1,-0.242,-0.149,-0.451,-0.243,0.23,0.092,-0.947
ITPRIP,0.101,-0.571,-0.457,-0.126,-0.441,-0.576,-0.356,-0.152,-0.718,-0.076,-0.068,-0.332,-1.379,-0.072
ITPRIPL1,-0.784,-0.568,-0.839,-0.498,0.077,-0.258,-0.492,-0.446,-0.503,-0.347,-0.678,-0.702,-1.352,-0.683
IZUMO1,0.022,0.252,-0.338,-0.247,-0.586,-0.841,-0.001,0.031,-0.051,0.108,-0.12,0.513,0.306,-0.042
JAG1,0.552,-0.019,-0.461,-0.091,-0.003,-0.474,-0.599,-0.117,0.033,-0.331,-0.323,-0.166,0.358,0.302
JAK3,-0.121,-0.684,-0.618,0.046,-0.528,-0.429,0.065,-0.165,-0.574,-0.227,-0.847,-0.016,-0.75,0.133
JARID2,-0.395,0.183,-1.216,-0.189,-0.939,0.365,0.132,-0.511,-0.578,-0.575,0.13,-0.651,-0.903,0.031
JDP2,-0.424,0.076,-0.147,0.331,-0.152,-0.183,0.093,-1.548,0.116,-0.005,-0.922,0.082,-0.237,-0.839
JMJD4,0.304,-0.094,-0.508,-0.359,-0.273,0.116,-0.668,-0.117,0.176,-0.123,-0.831,-0.47,0.305,-0.136
JMJD8,-0.55,0.011,0.106,0.118,-0.029,0.233,-0.303,-0.781,-0.221,0.195,-0.666,-0.229,0.15,-0.003
JRK,-0.014,-0.303,-1.39,-0.349,-0.659,0.242,-0.451,-0.313,-0.69,-0.038,-0.796,-0.829,-0.483,-0.459
JUND,-0.439,-0.152,-1.146,-0.717,-0.512,-0.596,-0.103,-0.097,-0.767,0.069,0.315,-0.032,-0.225,0.14
KATNA1,0.3,0.301,-0.474,-0.139,0.291,-1.036,0.007,-0.081,-0.255,0.19,0.256,0.054,-0.493,-0.834
KAZN,0.574,-0.355,-0.04,-0.005,-0.136,0.103,0.153,0.218,-0.15,0.145,-0.308,-0.167,-0.798,-0.415
KCNAB2,0.017,-0.518,-0.004,0.071,-0.095,-0.028,0.141,-0.424,-0.487,0.216,-0.886,-0.128,0.553,-0.066
KCNC1,0.372,0.025,-0.528,0.235,-0.257,0.262,0.068,-0.442,0.343,0.037,-0.615,-0.162,-0.116,0.282
KCNC3,-0.478,-0.516,-0.883,0.138,-1.156,-0.378,-0.385,-0.426,-0.715,-0.298,-0.07,-0.347,-0.616,-0.146
KCNC4,-0.666,-0.117,-0.147,-0.441,-0.181,-0.58,-0.455,-0.378,-0.065,-0.595,-0.165,-0.27,-0.69,-1.257
